OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_ADDRESS_TWO,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_ADMIN_NAME,FAC_OPER_CURRYR,BEG_DATE,END_DATE,PARENT_NAME,PARENT_ADDRESS_ONE,PARENT_ADDRESS_TWO,PARENT_CITY,PARENT_STATE,PARENT_ZIPCODE,REPORT_PREP_NAME,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,REPORT_STATUS,MCAL_PROVIDER_NO,MCARE_PROVIDER_NO,ACLAIMS_NO,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,LONGITUDE,LATITUDE,License_Category,Clin_FQHC_or_Like,Clin_95210_Rural,ComSvc_Adult_Day_Care,ComSvc_Child_Care,ComSvc_Education,ComSvc_Nutrition,ComSvc_Disaster_Relief,ComSvc_Environ_Health,ComSvc_Homeless,ComSvc_Legal,ComSvc_Outreach,ComSvc_Social_Svcs,ComSvc_Subst_Abuse,ComSvc_Transport,ComSvc_Voc_Training,ComSvc_Othr,Arabic_Lang_Stf,Arabic_Lang_Pt,Armenian_Lang_Stf,Armenian_Lang_Pt,Cambodian_Lang_Stf,Cambodian_Lang_Pt,Chinese_Lang_Stf,Chinese_Lang_Pt,Hindustani_Lang_Stf,Hindustani_Lang_Pt,Hmong_Lang_Stf,Hmong_Lang_Pt,Japanese_Lang_Stf,Japanese_Lang_Pt,Korean_Lang_Stf,Korean_Lang_Pt,Laotian_Lang_Stf,Laotian_Lang_Pt,Portugese_Lang_Stf,Portugese_Lang_Pt,Punjabi_Lang_Stf,Punjabi_Lang_Pt,Russian_Lang_Stf,Russian_Lang_Pt,Sign_Lang_Stf,Sign_Lang_Pt,Spanish_Lang_Stf,Spanish_Lang_Pt,Tagalog_Lang_Stf,Tagalog_Lang_Pt,Vietnamese_Lang_Stf,Vietnamese_Lang_Pt,Eng_Not_Prim_Pt_Percent,Lang_If_Eng_Not_Prim,Physn_Salary_FTE,Physn_Contract_FTE,Physn_Volunteer_FTE,Physn_TOTL_FTE,Physn_Enctr_FTE,Physn_Asst_Salary_FTE,Physn_Asst_Contract_FTE,Physn_Asst_Volunteer_FTE,Physn_Asst_TOTL_FTE,Physn_Asst_Enctr_FTE,Nur_Fam_Pract_Salary_FTE,Nur_Fam_Pract_Contract_FTE,Nur_Fam_Pract_Volunteer_FTE,Nur_Fam_Pract_TOTL_FTE,Nur_Fam_Pract_Enctr_FTE,Midwiv_Salary_FTE,Midwiv_Contract_FTE,Midwiv_Volunteer_FTE,Midwiv_TOTL_FTE,Midwiv_Enctr_FTE,Nur_Visit_Salary_FTE,Nur_Visit_Contract_FTE,Nur_Visit_Volunteer_FTE,Nur_Visit_TOTL_FTE,Nur_Visit_Enctr_FTE,Dentist_Salary_FTE,Dentist_Contract_FTE,Dentist_Volunteer_FTE,Dentist_TOTL_FTE,Dentist_Enctr_FTE,Dent_Hyg_Salary_FTE,Dent_Hyg_Contract_FTE,Dent_Hyg_Volunteer_FTE,Dent_Hyg_TOTL_FTE,Dent_Hyg_Enctr_FTE,PsyD_Salary_FTE,PsyD_Contract_FTE,PsyD_Volunteer_FTE,PsyD_TOTL_FTE,PsyD_Enctr_FTE,Psych_Clin_Salary_FTE,Psych_Clin_Contract_FTE,Psych_Clin_Volunteer_FTE,Psych_Clin_TOTL_FTE,Psych_Clin_Enctr_FTE,LCSW_Salary_FTE,LCSW_Contract_FTE,LCSW_Volunteer_FTE,LCSW_TOTL_FTE,LCSW_Enctr_FTE,Othr_MediCal_Provdr_Salary_FTE,Othr_MediCal_Provdr_Contract_FTE,Othr_MediCal_Provdr_Volunteer_FTE,Othr_MediCal_Provdr_TOTL_FTE,Othr_MediCal_Provdr_Enctr_FTE,Othr_CPSP_Providr_Salary_FTE,Othr_CPSP_Provdr_Contract_FTE,Othr_CPSP_Provdr_Volunteer_FTE,Othr_CPSP_Provdr_TOTL_FTE,Othr_CPSP_Provdr_Enctr_FTE,FTE_Salary_TOTL,FTE_Contract_TOTL,FTE_Volunteer_TOTL,FTE_GRAND_TOTL,Enctr_GRAND_TOTL,RDH_Salary_FTE,RDH_Contract_FTE,RDH_Volunteer_FTE,RDH_TOTL_FTE,RDH_Contact_FTE,Dent_Asst_Salary_FTE,Dent_Asst_Contract_FTE,Dent_Asst_Volunteer_FTE,Dent_Asst_TOTL_FTE,Dent_Asst_Contact_FTE,Dent_Asst_No_Lic_Salary_FTE,Dent_Asst_No_Lic_Contract_FTE,Dent_Asst_No_Lic_Volunteer_FTE,Dent_Asst_No_Lic_TOTL_FTE,Dent_Asst_No_Lic_Contact_FTE,Therapist_Marr_Fam(MFT)_Salary_FTE,Therapist_Marr_Fam(MFT)_Contract_FTE,Therapist_Marr_Fam(MFT)_Volunteer_FTE,Therapist_Marr_Fam(MFT)_TOTL_FTE,Therapist_Marr_Fam(MFT)_Contact_FTE,Nur_Regist_Salary_FTE,Nur_Regist_Contract_FTE,Nur_Regist_Volunteer_FTE,Nur_Regist_TOTL_FTE,Nur_Regist_Contact_FTE,LVN_Salary_FTE,LVN_Contract_FTE,LVN_Volunteer_FTE,LVN_TOTL_FTE,LVN_Contact_FTE,Med_Asst_No_Lic_Salary_FTE,Med_Asst_No_Lic_Contract_FTE,Med_Asst_No_Lic_Volunteer_FTE,Med_Asst_No_Lic_TOTL_FTE,Med_Asst_No_Lic_Contact_FTE,Pt_Educ_NonLic_Salary_FTE,Pt_Educ_NonLic_Contract_FTE,Pt_Educ_NonLic_Volunteer_FTE,Pt_Educ_NonLic_TOTL_FTE,Pt_Educ_NonLic_Contact_FTE,Subs_Abuse_Salary_FTE,Subs_Abuse_Contract_FTE,Subs_Abuse_Volunteer_FTE,Subs_Abuse_TOTL_FTE,Subs_Abuse_Contact_FTE,Billing_staff_Salary_FTE,Billing_staff_Contract_FTE,Billing_staff_Volunteer_FTE,Billing_staff_TOTL_FTE,Billing_staff_Contact_FTE,Other_Admin_Staff_Salary_FTE,Other_Admin_Staff_Contract_FTE,Other_Admin_Staff_Volunteer_FTE,Other_Admin_Staff_TOTL_FTE,Other_Admin_Staff_Contact_FTE,Othr_Provdr_Not_Enctr_Salary_FTE,Othr_Provdr_Not_Enctr_Contract_FTE,Othr_Provdr_Not_Enctr_Volunteer_FTE,Othr_Provdr_Not_Enctr_TOTL_FTE,Othr_Provdr_Not_Enctr_Contact_FTE,FTE__Salary_TOTL,FTE__Contract_TOTL,FTE__Volunteer_TOTL,FTE_Contacts_TOTL,FTE_Contacts_GRAND_TOTL,PCC_HEALTH_SERV_MEDICAL,PCC_HEALTH_SERV_DENTAL,PCC_HEALTH_SERV_VISION,PCC_HEALTH_SERV_MENTAL_HEALTH,PCC_HEALTH_SERV_SUBSTANCE_ABUSE,PCC_HEALTH_SERV_DOMESTIC_VIOLENCE,PCC_HEALTH_SERV_BASIC_LAB,PCC_HEALTH_SERV_RADIOLOGICAL_SERVICES,PCC_HEALTH_SERV_URGENT_CARE,PCC_HEALTH_SERV_PHARMACY,PCC_HEALTH_SERV_WOMENS_HEALTH
306154146,OMNI FAMILY HEALTH,3409 CALLOWAY DR,STE 300,BAKERSFIELD,93312,661-459-1900,Francisco Castillon,Yes,1/1/17,12/31/17,Omni Family Health,4900 California Ave.,Suite 400B,Bakersfield,CA,93309,Milad Khalil,Open,12/31/07,,,,,,34,16,23,6029003807,66d,,09 - Central,Kern,550000641,-119.11006,35.3918,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,,,,,,YES,YES,,,,,,YES,,,,,,,,,,,,,,,,,,,YES,YES,,,,,9,Spanish,1.27,,,1.27,6689,0.04,,,0.04,,0.91,,,0.91,4456,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,2.22,0,0,2.22,11145,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,7.43,,,7.43,,0.49,,,0.49,,,,,0,,,,,0,,1.94,,,1.94,,,,,0,,9.86,0,0,9.86,0,Yes,,,,,,,,,,
306154142,WEST DELANO DENTAL CENTER,441 DIAZ AVE,,DELANO,93215,661-725-3882,"Brian O. Harris, CEO",Yes,1/1/17,12/31/17,"Clinica Sierra Vista, Inc.","1430 Truxtun Avenue, Suite 400",,Bakersfield,CA,93301,Brian Harris,Open,6/27/07,,,,,,32,14,21,6029004800,60,,09 - Central,Kern,550000534,-119.24652,35.75593,Community Clinic,FQHC,No,,,YES,,,,YES,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,63,Spanish,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1.91,0.24,,2.15,6010,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1.91,0.24,0,2.15,6010,1.16,,,1.16,1756,3.42,,,3.42,,0.11,,,0.11,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.63,,,0.63,,3.91,,,3.91,,,,,0,,9.23,0,0,9.23,1756,,Yes,,,,,,Yes,,,
306154161,OMNI FAMILY HEALTH,1014 CALLOWAY DR,STE F,BAKERSFIELD,93312,661-459-1900,Francisco Castillon,Yes,1/1/17,12/31/17,Omni Family Health,4900 California Ave,Suite 400B,Bakersfield,CA,93309,Milad Khalil,Open,12/21/10,,,,,,34,16,23,6029003812,66d,,09 - Central,Kern,550001456,-119.11415,35.3653,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,,,7,Spanish,1.07,,,1.07,5396,0.33,,,0.33,,1.17,,,1.17,6675,,,,0,,,,,0,,1.37,0.13,,1.5,6752,,,,0,,,,,0,3,,,,0,1,,,,0,6,0.01,0.44,,0.45,2594,,,,0,,3.95,0.57,0,4.52,21427,,,,0,,2.98,,,2.98,,1.03,,,1.03,,,,,0,,,,,0,,,,,0,,10.3,,,10.3,,2.31,,,2.31,,,,,0,,,,,0,,3.35,,,3.35,,,,,0,,19.97,0,0,19.97,0,Yes,Yes,,,,,,,,,
306154126,OMNI FAMILY HEALTH,525 ROBERTS LN,,BAKERSFIELD,93308,661-459-1900,Francisco Castillon,Yes,1/1/17,12/31/17,Omni Family Health,4900 California Ave.,Suite 400B,Bakersfield,CA,93309,Milad Khalil,Open,1/13/04,,,,,,34,16,23,6029000400,66a,,09 - Central,Kern,120000668,-119.03126,35.4086,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,,,,,,YES,YES,,,,,,YES,,,,,,,,,,,,,,,,,,YES,YES,YES,,,,,9,Spanish,0.12,0.01,,0.13,509,0.54,,,0.54,8777,1.62,,,1.62,2592,,,,0,,,,,0,,0.77,0.22,,0.99,4449,,,,0,,,,,0,,,,,0,,,,,0,,,1.64,,1.64,6952,,,,0,,3.05,1.87,0,4.92,23279,,,,0,,1,,,1,,2.99,,,2.99,,,,,0,,,,,0,,,,,0,,11.8,,,11.8,,3.05,,,3.05,,,,,0,,,,,0,,7.12,,,7.12,,,,,0,,25.96,0,0,25.96,0,Yes,Yes,Yes,,,,,,,,
306154191,OMNI FAMILY HEALTH,4151 MEXICALI DR,,BAKERSFIELD,93313,661-459-1900,Francisco Castillon,Yes,1/1/17,12/31/17,4900 California Ave.,Suite 400B,,Bakersfield,CA,93309,Milad Khalil,Open,12/12/16,,,,,,34,16,23,6029003123,66c,,09 - Central,Kern,550003730,-119.08165,35.3172,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,9,Spanish,1.06,0.01,,1.07,5088,,,,0,,2.32,0.01,,2.33,9482,,,,0,,,,,0,,0.26,0.21,,0.47,1344,,,,0,,,0.25,,0.25,887,,0.05,,0.05,239,,0.17,,0.17,365,,0.09,,0.09,146,,,,0,,3.64,0.79,0,4.43,17551,0.01,,,0.01,,,,,0,,2.06,,,2.06,,,,,0,,,,,0,,,,,0,,12.34,,,12.34,,,,,0,,,,,0,,,,,0,,0.46,,,0.46,,,,,0,,14.87,0,0,14.87,0,Yes,Yes,,Yes,,,,,,,
306514007,AMPLA HEALTH RICHLAND MEDICAL,334 SAMUEL DR,,YUBA CITY,95991,530-674-9200,Veronica Richter,Yes,1/1/17,12/31/17,Ampla Health,935 Market St,,Yuba City,CA,95991,Veronica Richter,Open,7/24/91,7/24/91,,,,230000411,3,4,3,6101050302,216,,02 - Golden Empire,Sutter,230000189,-121.6088,39.12312,Community Clinic,FQHC,No,,,,,YES,,,,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,YES,YES,YES,,,,,73,Spanish,2.14,,,2.14,9432,1.8,,,1.8,5144,0.6,,,0.6,2286,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0.21,,,0.21,236,,,,0,0,,,,0,0,4.75,0,0,4.75,17098,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1.98,,,1.98,0,6.73,,,6.73,0,,,,0,0,,,,0,0,,,,0,,7.61,,,7.61,,,,,0,,16.32,0,0,16.32,0,Yes,,,Yes,,,,,,,
306294021,"CHAPA-DE INDIAN HEALTH PROGRAM, INC.",1350 E MAIN ST,,GRASS VALLEY,95945,530-477-8545,Lisa Davies,Yes,1/1/17,12/31/17,"Chapa-De Indian Health Program, Inc.",11670 Atwood Road,,Auburn,CA,95603,Sierk Haitsma,Open,11/12/08,,,,,,1,1,1,6057000501,113,,02 - Golden Empire,Nevada,230000303,-121.04641,39.23174,Community Clinic,Neither,No,,,YES,YES,,,,,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,3,Spanish,3,,,3,8450,,,,0,0,1.48,,,1.48,2580,,,,0,0,,,,0,0,2.19,,,2.19,12149,,,,0,0,0.5,,,0.5,987,,,,0,0,1.03,,,1.03,1468,,,,0,0,,,,0,0,8.2,0,0,8.2,25634,0.38,,,0.38,0,8.94,,,8.94,56,0.85,,,0.85,0,,,,0,0,3.31,,,3.31,8,2.06,,,2.06,26,6.1,,,6.1,633,,,,0,417,,,,0,38,,,,0,,31.73,,,31.73,,,,,0,,53.37,0,0,53.37,1178,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes
306064005,AMPLA HEALTH ARBUCKLE MEDICAL AND DENTAL,89 PUTNAM WAY,,ARBUCKLE,95912,530-476-2200,Veronica Richter,Yes,1/1/17,12/31/17,Ampla Health,935 Market St,,Yuba City,CA,95991,Veronica Richter,Open,12/26/07,,,,,,4,4,3,6011000100,16.3,,01 - Northern California,Colusa,550000669,-122.061249,39.02029,Community Clinic,FQHC,No,,,,,YES,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,64,Spanish,0.8,,,0.8,3420,,,,0,0,,,,0,158,,,,0,0,,,,0,0,0.99,,,0.99,2174,0.73,,,0.73,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,2.52,0,0,2.52,5752,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,2.02,,,2.02,0,1.26,,,1.26,0,,,,0,0,,,,0,0,,,,0,,1.42,,,1.42,,,,,0,,4.7,0,0,4.7,0,Yes,Yes,,,,,,,,,
306474014,"MCCLOUD HEALTHCARE CLINIC, INC.",116 W MINNESOTA AVE,,MCCLOUD,96057,530-964-2389-106,James Proffitt,Yes,1/1/17,12/31/17,"McCloud Healthcare Clinic, Inc.",PO Box 1143,,McCloud,CA,96057-1143,James Proffitt,Open,12/23/09,,,,,,1,1,1,6093001200,199,,01 - Northern California,Siskiyou,550001195,-122.1364186,41.2522457,Community Clinic,FQHC,No,,,YES,YES,YES,,,,YES,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,2,Spanish,0.45,0.45,,0.9,2586,,,,0,0,1.12,0.07,,1.19,1444,,,,0,0,,,,0,0,1,,,1,2641,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0.55,0.2,,0.75,1153,0.5,,,0.5,0,3.62,0.72,0,4.34,7824,0.74,,,0.74,972,,,,0,0,1.33,0.2,,1.53,0,,,,0,24,1.09,,,1.09,16,,,,0,0,1.2,0.05,,1.25,0,,,,0,0,,,,0,0,0.46,,,0.46,,6.9,0.2,,7.1,,,,,0,,11.72,0.45,0,12.17,1012,Yes,Yes,,Yes,,,Yes,Yes,,,Yes
306064002,AMPLA HEALTH COLUSA MEDICAL AND DENTAL,555 FREMONT ST,,COLUSA,95932,530-458-8635,Veronica Richter,Yes,1/1/17,12/31/17,Ampla Health,935 Market St,,Yuba City,CA,95991,Veronica Richter,Open,12/14/93,12/14/93,,,,230000494,3,4,3,6011000500,15,,01 - Northern California,Colusa,230000216,-122.01115,39.20789,Community Clinic,FQHC,No,,,,,YES,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,YES,,,,,52,Spanish,1.49,,,1.49,4204,0,,,0,41,0.21,,,0.21,916,,,,0,0,,,,0,0,1.04,,,1.04,2475,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,2.74,0,0,2.74,7636,,,,0,0,2.1,,,2.1,0,0.61,,,0.61,0,,,,0,0,,,,0,0,0.2,,,0.2,0,3.57,,,3.57,0,,,,0,0,,,,0,0,,,,0,,3.99,,,3.99,,,,,0,,10.47,0,0,10.47,0,Yes,Yes,,,,,,,,,
306044173,PLANNED PARENTHOOD OF THE NORTH VALLEY- CHICO CTR.,3100 COHASSET RD,,CHICO,95973,530-342-8367,Leslie Barron-Johnson,Yes,1/1/17,12/31/17,Planned Parenthood Shasta Diablo Inc.,2185 Pacheco St,,Concord,CA,94520-2309,LESLIE BARRON-JOHNSON,Open,1/7/10,,,,,,3,4,1,6007000104,7.1,,01 - Northern California,Butte,230000101,-121.8429338,39.7718447,Community Clinic,Neither,No,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,3,Spanish,,0.25,,0.25,765,,,,0,,1.78,,,1.78,12360,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1.78,0.25,0,2.03,13125,,,,0,,,,,0,,,,,0,,,,,0,,0.5,,,0.5,,,,,0,,9.5,,,9.5,,,,,0,,,,,0,,,,,0,,3,,,3,,,,,0,,13,0,0,13,0,Yes,,,,,,,,,,Yes
306451611,CARENET PREGNANCY CENTER OF TRI COUNTIES,2460 ATHENS AVE,,REDDING,96001,530-246-7075-409,Rachel Pilli,Yes,1/1/17,12/31/17,Care Net Pregnancy Center of Northern California,2460 Athen Avenue,,Redding,CA,96001,Rachel Pilli,Open,11/23/07,5/19/76,,,,230000079,1,1,1,6089010200,189.2,,01 - Northern California,Shasta,230000347,-122.3769063,40.5743791,Free Clinic,Neither,No,,,YES,YES,,,,,,YES,,,,YES,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,YES,,,,,15,Spanish,,,0.05,0.05,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,368,,,,0,,0,0,0.05,0.05,368,,,,0,,,,,0,,,,,0,,,,,0,,,,0.37,0.37,,,,,0,,,,,0,,,,0.9,0.9,,,,,0,,,,,0,,,2.38,,2.38,,,,,0,,0,2.38,1.27,3.65,0,Yes,,,,,,,,,,Yes
306014285,VALLEY PREGNANCY CENTER,5776 STONERIDGE MALL RD,STE 200,PLEASANTON,94588,925-425-0414,Jenae Easley,Yes,1/1/17,12/31/17,,,,,,,Jenae Easley,Open,12/15/11,,,,,,16,7,15,6001450602,2k,,05 - East Bay,Alameda,140000711,-121.9310506,37.6923067,Community Clinic,Neither,No,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spanish,,,0.01,0.01,59,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0.01,0.01,59,,,,0,,,,,0,,,,,0,,,,,0,,1,,,1,147,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,0,1,147,,,,,,,,,,,Yes
306014350,PLANNED PARENTHOOD,1032 A STREET,,HAYWARD,94541,877-855-7526,Danna Freedman-Shara,Yes,1/1/17,12/31/17,Planned Parenthood Mar Monte,1691 The Alameda,,San Jose,CA,95126,Jessica Hall,Open,1/1/15,,,,,,20,10,15,6001435400,2h,,05 - East Bay,Alameda,550002918,-122.08323,37.67436,Community Clinic,Neither,No,,,YES,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,7,Spanish,,,,0,3,,,,0,0,1.25,,,1.25,2110,1.8,,,1.8,4146,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,3180,,,,0,0,3.05,0,0,3.05,9439,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,3180,,,,0,0,6.25,,,6.25,0,,,,0,0,,,,0,0,2,,,2,,1,,,1,,,,,0,,9.25,0,0,9.25,3180,Yes,,,,,,,,,,
306374449,NORTH COUNTY HEALTH SERVICES - LA MISION,3220 MISSION AVE,STE 1,OCEANSIDE,92054,760-433-3155,Kathy Martinez,Yes,1/1/17,12/31/17,"North County Health Project, Inc.",150 Valpreda Road,,San Marcos,CA,92069,Kathy Martinez,Open,8/31/09,,,,,,76,36,49,6073018603,156a,,14 - San Diego/Imperial,San Diego,550001146,-117.34774,33.21379,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,20,Spanish,0.99,,,0.99,103,0.27,,,0.27,3859,0.24,,,0.24,1151,,,,0,,,,,0,,,,,0,,,,,0,,0.15,,,0.15,154,,,,0,,0.64,,,0.64,689,,,,0,,,,,0,,2.29,0,0,2.29,5956,,,,0,,,,,0,,,,,0,,,,,0,,0.03,,,0.03,,0.79,,,0.79,25,3.58,,,3.58,,,,,0,,,,,0,,,,,0,,6.82,,,6.82,,,,,0,,11.22,0,0,11.22,25,Yes,,,Yes,,,,,,,
306105068,KERMAN HEALTH CENTER,449 S MADERA AVE,,KERMAN,93630,559-693-2462,Soyla Reyna-Griffin,Yes,1/1/17,12/31/17,"Valley Health Team, Inc",P.O. Box 737,,San Joaquin,CA,93660,Ted Avena,Open,11/1/08,,,,,,31,12,21,6019004001,29,,09 - Central,Fresno,40000472,-120.0603,36.72858,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,YES,,YES,,,YES,,,,,,,,YES,,,,,,YES,,,,YES,,YES,YES,,,,,YES,YES,YES,,YES,,36,Spanish,2.14,,,2.14,8332,1.8,,,1.8,6448,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0.2,,,0.2,212,0.19,,,0.19,164,,,,0,0,0.13,,,0.13,258,4.46,0,0,4.46,15414,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,6.78,,,6.78,1168,0.4,,,0.4,,,,,0,,1.4,,,1.4,,10.54,,,10.54,,0.25,,,0.25,,19.37,0,0,19.37,1168,Yes,,,Yes,,,Yes,Yes,,,Yes
306240945,GOLDEN VALLEY HEALTH CENTER - MERCED,847 W CHILDS AVE,,MERCED,95341,209-383-7441,Tony Weber,Yes,1/1/17,12/31/17,Golden Valley Health Centers,737 W. Childs Avenue,,Merced,CA,95341-6805,Eric Eckhart,Open,9/26/73,9/26/73,,,,40000207,21,12,16,6047001503,97.2,,06 - North San Joaquin,Merced,40000180,-120.49794,37.28823,Community Clinic,FQHC,No,,,YES,YES,YES,YES,YES,,,,YES,,,,,YES,,YES,,YES,,YES,,YES,YES,YES,,YES,,,,YES,,YES,,YES,,,,YES,YES,YES,,YES,,YES,33,Spanish,4.89,0.9,,5.79,18436,2.55,0.97,,3.52,16231,4.63,0.09,,4.72,30625,,,,0,,,,,0,,2.13,,,2.13,12338,,,,0,,,,,0,,1.5,,,1.5,1758,1.93,,,1.93,1167,3,,,3,8600,,,,0,,20.63,1.96,0,22.59,89155,,,,0,,5.5,,,5.5,,,,,0,,,,,0,,3,,,3,1899,,,,0,,20.19,,,20.19,1179,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,28.69,0,0,28.69,3078,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,
306105120,PREGNANCY CARE CENTER,7005 N MAPLE AVE,STE 101B,FRESNO,93720,559-765-4128,Kristi Burkhart,Yes,1/1/17,12/31/17,,,,,,,KELLI KLASSEN,Open,11/14/14,,,,,,23,8,22,6019005509,35a,,09 - Central,Fresno,550002877,-119.74522,36.83789,Community Clinic,Neither,No,,,YES,YES,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,2,Spanish,,,0.02,0.02,520,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,0.02,0.02,520,,,,0,,,,,0,,,,,0,,,,,0,,,,0.33,0.33,520,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,0.6,,0.6,,,0.38,0.31,0.69,,0,0.98,0.64,1.62,520,,,,,,,,,,,Yes
306100021,SAN JOAQUIN HEALTH CENTER,21890 COLORADO AVE,,SAN JOAQUIN,93660,559-693-2462,Soyla Reyna-Griffin,Yes,1/1/17,12/31/17,"Valley Health Team, Inc",P.O. Box 737,,San Joaquin,CA,93660,Ted Avena,Open,8/5/81,8/5/81,,,,40000181,31,12,21,6019008200,26,,09 - Central,Fresno,40000217,-120.184312,36.605463,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,YES,,YES,,,YES,,,,,,,,YES,,,,,,YES,,,,YES,,YES,YES,,,,,YES,YES,YES,,YES,,64,Spanish,3.44,,,3.44,6154,1,,,1,4702,,,,0,0,,,,0,0,,,,0,0,0.87,0.07,,0.94,2883,,,,0,0,,,,0,0,,,,0,0,0.31,,,0.31,220,,,,0,0,1.02,,,1.02,235,6.64,0.07,0,6.71,14194,,,,0,,1,,,1,,1,,,1,,,,,0,,,,,0,,,,,0,,5.21,,,5.21,843,0.4,,,0.4,,,,,0,,1.29,,,1.29,,12.28,,,12.28,,0.25,,,0.25,,21.43,0,0,21.43,843,Yes,Yes,,Yes,,,Yes,Yes,,,Yes
306242217,GOLDEN VALLEY HEALTH CENTER - PLANADA,9235 E BROADWAY ST,,PLANADA,95365,209-382-0253,Tony Weber,Yes,1/1/17,12/31/17,Golden Valley Health Centers,737 W. Childs Avenue,,Merced,CA,95341-6805,Eric Eckhart,Open,7/21/81,7/21/81,,,,40000209,21,12,16,6047001901,97.3,,06 - North San Joaquin,Merced,40000214,-120.32013,37.29052,Community Clinic,FQHC,No,,,YES,YES,YES,YES,YES,,YES,,,,,,,YES,,,,,,YES,,,,YES,,,,,,,,YES,,YES,,,,YES,YES,YES,,YES,,,50,Spanish,0.28,0.81,,1.09,3983,0.9,,,0.9,3558,,,,0,,,,,0,,,,,0,,1,,,1,4762,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.5,,,0.5,682,2.68,0.81,0,3.49,12985,,,,0,,2.13,,,2.13,,,,,0,,,,,0,,0.1,,,0.1,50,,,,0,,4.81,,,4.81,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,7.04,0,0,7.04,50,Yes,Yes,,Yes,,,,,,,
